album_id,name,release_date,total_tracks,url
53985D8g3JcGBoULSOYYKX,Seven (feat. Latto),2023-07-14,3,{'spotify': 'https://open.spotify.com/album/53985D8g3JcGBoULSOYYKX'}
3puAvurwvtvi1rodndIPW8,LA VIDA ES UNA,2023-03-23,23,{'spotify': 'https://open.spotify.com/album/3puAvurwvtvi1rodndIPW8'}
18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,19,{'spotify': 'https://open.spotify.com/album/18NOKLkZETa4sWwLMIm0UZ'}
3AafSrFIbJPH6BJHiJm1Cd,"What Was I Made For? [From The Motion Picture ""Barbie""]",2023-07-13,1,{'spotify': 'https://open.spotify.com/album/3AafSrFIbJPH6BJHiJm1Cd'}
10eNMeTimUzAKLhCOpIUlb,K-POP,2023-07-21,1,{'spotify': 'https://open.spotify.com/album/10eNMeTimUzAKLhCOpIUlb'}
5cH7FqB7JD5q1tJXJ7FHYu,Dance The Night (From Barbie The Album),2023-05-25,1,{'spotify': 'https://open.spotify.com/album/5cH7FqB7JD5q1tJXJ7FHYu'}
5CM66hwjlbZ06LhONWXOAs,Barbie World (with Aqua) [From Barbie The Album],2023-06-23,1,{'spotify': 'https://open.spotify.com/album/5CM66hwjlbZ06LhONWXOAs'}
1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,18,{'spotify': 'https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq'}
5kqfR7EuGbyp8x27Pr1kY9,vampire,2023-06-30,1,{'spotify': 'https://open.spotify.com/album/5kqfR7EuGbyp8x27Pr1kY9'}
07kam1Dks7GIucbSelfvyX,Columbia,2023-07-07,1,{'spotify': 'https://open.spotify.com/album/07kam1Dks7GIucbSelfvyX'}
5qmZefgh78fN3jsyPPlvuw,a Gift & a Curse,2023-06-16,15,{'spotify': 'https://open.spotify.com/album/5qmZefgh78fN3jsyPPlvuw'}
5V729UqvhwNOcMejx0m55I,NewJeans 'Super Shy',2023-07-07,2,{'spotify': 'https://open.spotify.com/album/5V729UqvhwNOcMejx0m55I'}
5l0QlaI3wdZpE7ggoO5Rwg,Sprinter,2023-06-01,1,{'spotify': 'https://open.spotify.com/album/5l0QlaI3wdZpE7ggoO5Rwg'}
5gCcb5fsSb6w5K8SyJrgtB,WHERE SHE GOES,2023-05-18,1,{'spotify': 'https://open.spotify.com/album/5gCcb5fsSb6w5K8SyJrgtB'}
6NcI39WPu4kY6Tul11nhSv,Daylight,2023-04-14,1,{'spotify': 'https://open.spotify.com/album/6NcI39WPu4kY6Tul11nhSv'}
6aBVGuOUEuX18rHxyDWbti,La Bebe (Remix),2023-03-17,2,{'spotify': 'https://open.spotify.com/album/6aBVGuOUEuX18rHxyDWbti'}
44ugNcdxZyGhNiW2WWil0b,El Comienzo,2023-08-03,11,{'spotify': 'https://open.spotify.com/album/44ugNcdxZyGhNiW2WWil0b'}
5aDEezKnOqyQo0qvTFhpkM,DESVELADO,2023-04-28,16,{'spotify': 'https://open.spotify.com/album/5aDEezKnOqyQo0qvTFhpkM'}
0HiZ8fNXwJOQcrf5iflrdz,Endless Summer Vacation,2023-03-10,13,{'spotify': 'https://open.spotify.com/album/0HiZ8fNXwJOQcrf5iflrdz'}
5r36AJ6VOJtp00oxSkBZ5h,Harry's House,2022-05-20,13,{'spotify': 'https://open.spotify.com/album/5r36AJ6VOJtp00oxSkBZ5h'}
1nrVofqDRs7cpWXJ49qTnP,SOS,2022-12-08,23,{'spotify': 'https://open.spotify.com/album/1nrVofqDRs7cpWXJ49qTnP'}
4jox3ip1I39DFC2B7R5qLH,GÃ‰NESIS,2023-06-29,17,{'spotify': 'https://open.spotify.com/album/4jox3ip1I39DFC2B7R5qLH'}
2fenSS68JI1h4Fo296JfGr,folklore,2020-07-24,16,{'spotify': 'https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr'}
5letLUZIFsQikJYShfGNs4,The Beginning: Cupid,2023-02-24,3,{'spotify': 'https://open.spotify.com/album/5letLUZIFsQikJYShfGNs4'}
4jtQUtS4ABgER3DnGfKJCv,Classy 101,2023-03-31,1,{'spotify': 'https://open.spotify.com/album/4jtQUtS4ABgER3DnGfKJCv'}
5O0zUvdnJr0RbWzLFneN2i,Popular (Music from the HBO Original Series),2023-06-02,1,{'spotify': 'https://open.spotify.com/album/5O0zUvdnJr0RbWzLFneN2i'}
78bpIziExqiI9qztvNFlQu,AM,2013-09-09,12,{'spotify': 'https://open.spotify.com/album/78bpIziExqiI9qztvNFlQu'}
50uChhk7AKkzDKytDixjYW,RR,2023-03-24,3,{'spotify': 'https://open.spotify.com/album/50uChhk7AKkzDKytDixjYW'}
7qcSUc5Af63mhfTF60KTEA,Chemical,2023-04-14,1,{'spotify': 'https://open.spotify.com/album/7qcSUc5Af63mhfTF60KTEA'}
4xc3Lc9yASZgEJGH7acWMB,FACE,2023-03-24,6,{'spotify': 'https://open.spotify.com/album/4xc3Lc9yASZgEJGH7acWMB'}
1vw6eLxCJRAfD6RMJTiuKZ,SABOR FRESA,2023-06-22,1,{'spotify': 'https://open.spotify.com/album/1vw6eLxCJRAfD6RMJTiuKZ'}
0nayxjaX54Frd7GsZq6Pbs,Rave & Roses Ultra,2023-04-27,22,{'spotify': 'https://open.spotify.com/album/0nayxjaX54Frd7GsZq6Pbs'}
6i7mF7whyRJuLJ4ogbH2wh,One Thing At A Time,2023-03-03,36,{'spotify': 'https://open.spotify.com/album/6i7mF7whyRJuLJ4ogbH2wh'}
